title,paragraph,क्रिडा,क्रिकेट,आयपीएल,टी-20,फुटबॉल,कबड्डी,गुन्हा,खून,दरोडा,सायबर क्राइम, बलात्कार,राजकारण,भाजपा,शिवसेना,काँग्रेस,जागतिक राजकारण,खून,युक्रेन विरुद्ध रशिया युद्ध,आंदोलन,हवामान,पावसाळी,उन्हाळा,हिवाळा,मनोरंजन,"मराठी सिनेमा
",बॉलीवूड,हॉलीवूड,"सेलिब्रिटी",टेलिव्हिजन,चित्रपट
भारतीय गोलंदाजांनी इंग्लंडला शरणागती पत्करण्यास भाग पाडले; रोहित शर्माच्या नेतृत्वाखाली मालिका जिंकली, प्रत्युत्तरात पुन्हा एकदा भुवनेश्वर कुमारने ( Bhuvneshwar Kumar) पहिल्याच चेंडूवर जेसन रॉयला ( गोल्डन डक) बाद केले. त्यानंतर तिसऱ्या षटकात भुवीच्याच गोलंदाजीवर यष्टिंमागे रिषभ पंतने सुरेख झेल घेत जोस बटलरला ( ४) माघारी पाठवले. लिएम लिव्हिंगस्टोन फटकेबाजी करताना पाहून जसप्रीत बुमराह गोलंदाजीला आला अन् लिव्हिंगस्टोनचा ( १५) त्रिफळा उडवून गेला. इंग्लंडचे ३ फलंदाज २७ धावांवर माघारी परतले. युजवेंद्र चहलने त्याच्या पहिल्याच षटकात इंग्लंडला मोठा धक्का दिला. हॅरी ब्रूक ८ धावांवर सूर्यकुमार यादवकरवी झेलबाद होऊन माघारी परतला. इंग्लंडने ९ षटकांत ४ बाद ५५ धावा केल्या आहेत. पुढच्या षटकात चहलने इंग्लंडचा आणखी एक सेट फलंदाज मलानला ( १९) माघारी जाण्यास भाग पाडले. त्यानंतर बुमराहने सॅम कुरनची ( २) विकेट घेत इंग्लंडला ६० धावांवर ६वा धक्का दिला. ,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"टीम इंडियाची गाडी घसरली, ३४ वर्षीय गोलंदाजांनी वाट लावली; रवींद्र जडेजाने सर्वाधिक धावा करून लाज वाचवली ", रोहित शर्मा व रिषभ यांनी पॉवर प्लेमध्ये क्षेत्ररक्षकांना असलेल्या मर्यादेचा फायदा उचलताना उत्तुंग फटके मारले. या दोघांनी ४९ धावांची भागीदारी केली. पाचव्या षटकात पदार्पणवीर ग्लीसनने रोहितला बाद केले. यष्टिरक्षक जोस बटलरने ( Jos Buttler) परतीचा भन्नाट कॅच घेतला. रोहित २० चेंडूंत ३ चौकार व २ षटकारांसह ३१ धावांवर बाद झाला. त्यानंतर सातव्या षटकात विराटला ( १) धावांवर माघारी पाठवले आणि पुढच्याच चेंडूवर रिषभची विकेट घेतली. डेवीड मलानने विराटचा अप्रतिम झेल घेतला. पुढच्याच चेंडूवर रिषभ बटलरकरवी झेलबाद झाला. रिषभने १५ चेंडूंत २६ धावा केल्या. ,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
टीम इंडियात 'होलसेल' बदल; रोहित शर्माही विसरला खेळाडूचं नावं, इंग्लंडविरुद्धच्या दुसऱ्या टी-२० सामन्यात भारत प्रथम फलंदाजी करत आहे. तीन सामन्यांच्या मालिकेत १-० ने आघाडीवर असलेल्या टीम इंडियाला आज मालिका जिंकायची संधी आहे. हा सामना खूपच असण्यामागचे एक कारण म्हणजे विराट कोहलीला संघात घेण्यात आले आहे. टीम इंडियाने या मॅचमध्ये 'होलसेल' म्हणजेच चार बदल केले आहेत. या होलसेल बदलांमुळे टॉस दरम्यान असं काही झालं की रोहित शर्मा खेळाडूंची नावंच विसरला.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
विराट कोहली ५ महिन्यानंतर आला अन् १ धाव करून बाद झाला; डेवीड मलानने भन्नाट कॅच घेतला," रोहित शर्मा व रिषभ पंत या जोडीने भारताला दमदार सुरुवात करून दिली खरी, परंतु ३४ वर्षीय पदार्पणवीर रिचर्ड ग्लीसन ( Rischard Gleeson) याने भारताला धक्के दिले. ग्लीसनने पॉवर प्लेच्या पाचव्या षटकात रोहितची विकेट घेतली. त्यानंतर विराट कोहली व रिषभ पंत यांनाही माघारी पाठवले. पाच महिन्यानंतर विराट कोहली ट्वेंटी-२० क्रिकेट खेळण्यासाठी मैदानावर उतरला. रिषभ फटकेबाजी करत असल्याने तो बचावात्मक खेळत होता. पण, ३४ वर्षीय गोलंदाज रिचर्ड ग्लीसनने पदार्पणात तीन मोठ्या विकेट्स घेतल्या. त्यात विराटचाही समावेश होता. डेवीड मलानने परतीचा अप्रतिम झेल टिपला.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""याला टक्कर मारू का?""; रिषभ पंतने Live Match मध्ये इंग्लंडच्या खेळाडूला केली मारण्याची भाषा"," दरम्यान, रोहित व रिषभ फलंदाजी करतानाचा एक व्हिडीओ सोशल मीडियावर व्हायरल झाला आहे. यात रिषभ चक्क इंग्लंडच्या खेळाडूला टक्कर मारू का, असा सवाल रोहितला करताना ऐकू येतोय. भारताच्या डावातील पहिल्या षटकात डेव्हिड विलीचा चेंडू रिषभने सहज टोलवला अन्  एक धाव घेण्यासाठी पळाला. त्याचवेळी विली त्याच्या मार्गात आल्याचे दिसले. त्यानंतर एक धाव पूर्ण केल्यावर पंत रोहितला म्हणाला, सामने आ गया था, टक्कर मार दू क्या? ( तो समोरच आलेला, टक्कर मारू का त्याला?)",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
विराट कोहली- रोहित शर्मा ओपनिंग करणार; टीम इंडिया ४ बदलांसह मैदानावर उतरणार," पहिल्या सामन्यातील दणदणीत विजयानंतर भारतीय संघ आज मालिका विजयाच्या निर्धाराने इंग्लंडचा सामना करण्यासाठी मैदानावर उतरणार आहे. पाच महिन्यांनतर विराट कोहली ( Virat Kohli) ट्वेंटी-२० संघात पुनरागमन करणार आहे. रिषभ पंत व जसप्रीत बुमराह हेही संघात परतल्याने टीम इंडियाची ताकद आणखी वाढली आहे. पण, आता या तिघांसाठी पहिल्या सामन्यातील कोणत्या तीन खेळाडूंना बाहेर बसावे लागते, याची उत्सुकता आहे.   ",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"टीम इंडियाची गाडी घसरली, ३४ वर्षीय गोलंदाजांनी वाट लावली; रवींद्र जडेजाने सर्वाधिक धावा करून लाज वाचवली "," नोव्हेंबर २०२१मध्ये आंतरराष्ट्रीय क्रिकेटमधून निवृत्ती घेण्याचा विचार करणाऱ्या रिचर्ड ग्लीसन ( Richard Gleeson) याने जुलै २०२२मध्ये ट्वेंटी-२० क्रिकेटमध्ये पदार्पण केले. त्यानेच टीम इंडियाचे धाबे दणाणून सोडले. ग्लीसनने ४-१-१५-३ अशी कामगिरी केली, तर जॉर्डनने ४-०-२७-४ अशी सुरेख कामगिरी करताना भारताला मोठी धावसंख्या उभारून दिली नाही. रवींद्र जडेजा ( Ravindra Jadeja) भारताकडून सर्वाधिक धावा करणारा फलंदाज ठरला. ",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"कहानी मे ट्विस्ट!, रोहित शर्मासोबत ओपनिंगला विराट कोहली नव्हे, तर आला दुसराच खेळाडू ","  विराट कोहली, जसप्रीत बुमराह, रिषभ पंत व रवींद्र जडेजा हे प्रमुख खेळाडू संघात परतल्याने भारतीय संघाची बाजू भक्कम झाली आहे. ५ महिन्यानंतर विराट ट्वेंटी-२०सामन्यात खेळतोय आणि तो रोहित शर्मासह ओपनिंगला येईल अशी अपेक्षा होती. इशान किशन, दीपक हुडा, अक्षर पटेल व अर्षदीप सिंग यांना बाकावर बसावे लागले. पण, रोहितसह फलंदाजी करायला रिषभ पंत ( Rishabh Pant) मैदानावर आला अन् सर्वांना आश्चर्याचा धक्का बसला. रिषभ प्रथमच ट्वेंटी-२०त ओपनिंग करतोय. ",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
भारतीय गोलंदाजांनी इंग्लंडला शरणागती पत्करण्यास भाग पाडले; रोहित शर्माच्या नेतृत्वाखाली मालिका जिंकली,"  भुवनेश्वर कुमारने ( Bhuvneshwar Kumar) पुन्हा एकदा सुरुवातीच्या षटकांत इंग्लंडला हादरवले. भुवीच्या दमदार कामगिरीनंतर जसप्रीत बुमराह ( Jasprit Bumrah)  व युजवेंद्र चहल ( Yuzvendra Chahal ) यांनी टीम इंडियाला विकेटमागून विकेट मिळवून दिली अन् विजय निश्चित केला. भारताने तीन सामन्यांच्या मालिकेत २-० अशी विजयी आघाडी घेतली. २०१४नंतर भारतीय संघ इंग्लंडविरुद्ध ट्वेंटी-२० मालिका हरलेला नाही. २०१६ ( घरच्या मैदानावर) व २०१८ ( परदेशात) मध्ये भारताने २-१ अशा फरकाने, तर २०२१मध्ये ( घरच्या मैदानावर) ३-२ अशा फरकाने मालिका जिंकली आहे. २०१४मध्ये भारताला ०-१ अशी हार मानावी लागली, तर २०१२ मध्ये १-१असा बरोबरीचा निकाल लागला होता.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"रवींद्र जडेजाने चेन्नई सुपर किंग्सच्या सर्व पोस्ट डिलीट केल्या; CSK कडून मोठं विधान, तो त्याचा वैयक्तिक निर्णय!"," इंडियन प्रीमिअर लीग २०२२च्या मध्यंतरानंतर रवींद्र जडेजा आणि चेन्नई सुपर किंग्स ( CSK) यांच्यात काहीतरी बिनसलंय हे नक्की... आयपीएल २०२२ला सुरूवात होण्याआधी महेंद्रसिंग धोनीने ( MS DHONI) कर्णधारपद सोडण्याचा निर्णय घेतला. साहजिकच संघातील अनुभवी खेळाडू रवींद्र जडेजा ( Ravindra Jadeja) याच्या गळ्यात कर्णधारपदाची माळ पडली. पण, CSK चा खालावलेला ग्राफ पाहून संघ व्यवस्थापनाने पुन्ही ही जबाबदारी धोनीला घेण्यास सांगितली. त्यावेळी जडेजावर कर्णधारपदाचं नेतृत्व जाणवत असल्याचे धोनीने सांगितले. पण, त्यानंतर जडेजा व CSK यांच्यात दूरावा आल्याची चर्चा सुरू झाली.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
